name;description;isPartOfCourseraPlus;subtitleLanguages;productDifficultyLevels;audiences;enrollments;partners;languages;numProductRatings;allLanguageCodes;avgProductRatings;skills
Crash Course on Python;|This course is designed to teach you the foundations in order to write simple programs in Python using the most common structures. No previous exposure to programming is needed. By the end of this course, you'll understand the benefits of programming in IT roles; be able to write simple programs using Python; figure out how the building blocks of programming fit together; and combine all of this knowledge to solve a complex programming problem. |;True;['Arabic', 'French', 'Portuguese (Portugal)', 'Italian', 'Vietnamese', 'German', 'Russian', 'Spanish'];Beginner;;432011;['Google'];English;20011;['ar', 'fr', 'pt', 'it', 'vi', 'de', 'ru', 'es', 'en'];4.772225276098146;['Statistical Programming', 'Programming Principles', 'Semantics', 'Computer Programming', 'Python Programming', 'Data Structures', 'Syntax', 'Python Syntax And Semantics']
Programming for Everybody (Getting Started with Python);This course aims to teach everyone the basics of programming computers using Python. We cover the basics of how one constructs a program from a series of simple instructions in Python.  The course has no pre-requisites and avoids all but the simplest mathematics. Anyone with moderate computer experience should be able to master the materials in this course. This course will cover Chapters 1-5 of the textbook “Python for Everybody”.  Once a student completes this course, they will be ready to take more advanced programming courses. This course covers Python 3.;True;['Arabic', 'French', 'Portuguese (Portugal)', 'Chinese (China)', 'Italian', 'Vietnamese', 'Korean', 'German', 'Russian', 'Turkish', 'Spanish'];Mixed;;2372667;['University of Michigan'];English;199765;['ar', 'fr', 'pt', 'zh', 'it', 'vi', 'ko', 'de', 'ru', 'tr', 'es', 'en'];4.830856256100919;['Statistical Programming', 'Programming Principles', 'Computer Programming', 'Syntax', 'Python Programming', 'Basic Programming Language']
Python for Data Science, AI & Development;Kickstart your learning of Python for data science, as well as programming in general, with this beginner-friendly introduction to Python. Python is one of the world’s most popular programming languages, and there has never been greater demand for professionals with the ability to apply Python fundamentals to drive business solutions across industries. ;False;['Arabic'];Beginner;;345899;['IBM'];English;23788;['ar', 'en'];4.614805784429124;['Computational Logic', 'Mathematical Theory & Analysis', 'Statistical Programming', 'Mathematics', 'Theoretical Computer Science', 'Extract, Transform, Load', 'Pandas', 'Computer Programming', 'Programming Principles', 'Software Engineering', 'Software Testing', 'Python Programming', 'Numpy', 'Python Libraries', 'Data Management']
Python Basics;This course introduces the basics of Python 3, including conditional execution and iteration as control structures, and strings and lists as data structures. You'll program an on-screen Turtle to draw pretty pictures. You'll also learn to draw reference diagrams as a way to reason about program executions, which will help to build up your debugging skills. The course has no prerequisites. It will cover Chapters 1-9 of the textbook "Fundamentals of Python Programming," which is the accompanying text (optional and free) for this course.;True;['Arabic', 'French', 'Portuguese (Portugal)', 'Italian', 'Portuguese (Brazil)', 'Vietnamese', 'Korean', 'German', 'Russian', 'Spanish'];Beginner;;282912;['University of Michigan'];English;13986;['ar', 'fr', 'pt', 'it', 'vi', 'ko', 'de', 'ru', 'es', 'en'];4.803374803374803;['Statistical Programming', 'Computer Programming', 'Syntax', 'Python Programming', 'Python Syntax And Semantics', 'Semantics']
Основы программирования на Python;Язык программирования Python является одним из самых простых в освоении и популярных языков программирования. Целью курса является изучение основных конструкций языка Python, которые пригодятся при решении широкого круга задач – от анализа данных до разработки новых программных продуктов.;True;[];Beginner;;149499;['HSE University'];Russian;2884;['ru'];4.490291262135922;['Statistical Programming', 'Econometrics', 'Combinatorics', 'Mathematics', 'DevOps', 'Data Analysis', 'Algorithms', 'Theoretical Computer Science', 'Python Programming', 'Probability & Statistics', 'Pycharm', 'Applied Mathematics', 'Computer Programming', 'Business Analysis', 'Bayesian Statistics', 'Geometry']
Python and Statistics for Financial Analysis;Course Overview: https://youtu.be/JgFV5qzAYno;True;['Arabic', 'French', 'Portuguese (Portugal)', 'Italian', 'Vietnamese', 'German', 'Russian', 'Spanish', 'Japanese'];Intermediate;;111521;['The Hong Kong University of Science and Technology'];English;2849;['ar', 'fr', 'pt', 'it', 'vi', 'de', 'ru', 'es', 'ja', 'en'];4.393471393471393;['Analysis', 'Probability Distribution', 'Statistical Programming', 'Accounting', 'Data Analysis', 'Probability & Statistics', 'Business Analysis', 'Python Programming', 'Computer Programming', 'General Statistics']
Python Programming: A Concise Introduction;The goal of the course is to introduce students to Python Version 3.x programming using hands on instruction. It will show how to install Python and use the Spyder IDE (Integrated Development Environment) for writing and debugging programs. The approach will be to present an example followed by a small exercise where the learner tries something similar to solidify a concept.  At the end of each module there will be an exercise where the student is required to write simple programs and submit them for grading.  It is intended for students with little or no programming background, although students with such a background should be able to move forward at their preferred pace.;True;['Arabic', 'French', 'Portuguese (Portugal)', 'Italian', 'Vietnamese', 'German', 'Russian', 'Spanish'];Beginner;;205237;['Wesleyan University'];English;4749;['ar', 'fr', 'pt', 'it', 'vi', 'de', 'ru', 'es', 'en'];4.651084438829227;['Software Testing', 'Research and Design', 'Deep Learning', 'Leadership and Management', 'Computer Vision', 'Statistical Programming', 'Entrepreneurship', 'Machine Learning', 'Problem Solving', 'Artificial Neural Networks', 'Data Visualization', 'Semantics', 'Algorithms', 'Computer Programming', 'Python Programming', 'Software Engineering', 'Python Syntax And Semantics', 'Syntax', 'Android Development', 'Applied Machine Learning', 'Data Structures', 'Theoretical Computer Science', 'Computational Logic', 'Data Management', 'Mobile Development']
Introduction to Python Programming;This course provides an introduction to programming and the Python language.  Students are introduced to core programming concepts like data structures, conditionals, loops, variables, and functions.  This course includes an overview of the various tools available for writing and running Python, and gets students coding quickly.  It also provides hands-on coding exercises using commonly used data structures, writing custom functions, and reading and writing to files. This course may be more robust than some other introductory python courses, as it delves deeper into certain essential programming topics.;True;[];Beginner;;15751;['University of Pennsylvania'];English;269;['en'];4.122676579925651;['Statistical Programming', 'Python Programming', 'Computer Programming']
Introducción a la programación en Python I: Aprendiendo a programar con Python;Decía Steve Jobs que “todo el mundo debería aprender a programar un ordenador porque esto te ayuda a pensar”. Hoy en día la programación es una herramienta fundamental para el desarrollo de la tecnología moderna. Este curso te introduce en el mundo de la programación en el lenguaje Python. De una forma práctica, aprenderás de forma gradual desde el tratamiento básico de variables hasta la programación de algoritmos para construir tus propios juegos. Además, te familiarizarás con los conceptos fundamentales para el desarrollo de algoritmos y su programación. ;False;[];Beginner;;187409;['Pontificia Universidad Católica de Chile'];Spanish;3006;['es'];4.36892880904857;['Statistical Programming', 'Python Programming', 'Computer Programming']
Python Classes and Inheritance;This course introduces classes, instances, and inheritance. You will learn how to use classes to represent data in concise and natural ways. You'll also learn how to override built-in methods and how to create "inherited" classes that reuse functionality. You'll also learn about how to design classes. Finally, you will be introduced to the good programming habit of writing automated tests for their own code.;True;['Arabic', 'French', 'Portuguese (Portugal)', 'Italian', 'Vietnamese', 'German', 'Russian', 'Spanish'];Intermediate;;70796;['University of Michigan'];English;3113;['ar', 'fr', 'pt', 'it', 'vi', 'de', 'ru', 'es', 'en'];4.703501445550915;['Object-Oriented Programming', 'Programming Principles', 'Inheritance (Object-Oriented Programming)', 'Python Programming', 'Computer Programming', 'Computer Program']
