Product ID;Attribute (Name:Type:Position)*;Value (Value:Position)*
0;Język napisów:select:0;Angielski:0
0;Język napisów:select:0;Polski:0
0;Język napisów:select:0;Niemiecki:0
0;Język napisów:select:0;Hiszpański:0
1;Język napisów:select:0;Angielski:0
1;Język napisów:select:0;Polski:0
1;Język napisów:select:0;Niemiecki:0
1;Język napisów:select:0;Hiszpański:0
2;Język napisów:select:0;Angielski:0
2;Język napisów:select:0;Polski:0
2;Język napisów:select:0;Niemiecki:0
2;Język napisów:select:0;Hiszpański:0
3;Język napisów:select:0;Angielski:0
3;Język napisów:select:0;Polski:0
3;Język napisów:select:0;Niemiecki:0
3;Język napisów:select:0;Hiszpański:0
4;Język napisów:select:0;Angielski:0
4;Język napisów:select:0;Polski:0
4;Język napisów:select:0;Niemiecki:0
4;Język napisów:select:0;Hiszpański:0
5;Język napisów:select:0;Angielski:0
5;Język napisów:select:0;Polski:0
5;Język napisów:select:0;Niemiecki:0
5;Język napisów:select:0;Hiszpański:0
6;Język napisów:select:0;Angielski:0
6;Język napisów:select:0;Polski:0
6;Język napisów:select:0;Niemiecki:0
6;Język napisów:select:0;Hiszpański:0
7;Język napisów:select:0;Angielski:0
7;Język napisów:select:0;Polski:0
7;Język napisów:select:0;Niemiecki:0
7;Język napisów:select:0;Hiszpański:0
8;Język napisów:select:0;Angielski:0
8;Język napisów:select:0;Polski:0
8;Język napisów:select:0;Niemiecki:0
8;Język napisów:select:0;Hiszpański:0
9;Język napisów:select:0;Angielski:0
9;Język napisów:select:0;Polski:0
9;Język napisów:select:0;Niemiecki:0
9;Język napisów:select:0;Hiszpański:0
10;Język napisów:select:0;Angielski:0
10;Język napisów:select:0;Polski:0
10;Język napisów:select:0;Niemiecki:0
10;Język napisów:select:0;Hiszpański:0
11;Język napisów:select:0;Angielski:0
11;Język napisów:select:0;Polski:0
11;Język napisów:select:0;Niemiecki:0
11;Język napisów:select:0;Hiszpański:0
12;Język napisów:select:0;Angielski:0
12;Język napisów:select:0;Polski:0
12;Język napisów:select:0;Niemiecki:0
12;Język napisów:select:0;Hiszpański:0
13;Język napisów:select:0;Angielski:0
13;Język napisów:select:0;Polski:0
13;Język napisów:select:0;Niemiecki:0
13;Język napisów:select:0;Hiszpański:0
14;Język napisów:select:0;Angielski:0
14;Język napisów:select:0;Polski:0
14;Język napisów:select:0;Niemiecki:0
14;Język napisów:select:0;Hiszpański:0
15;Język napisów:select:0;Angielski:0
15;Język napisów:select:0;Polski:0
15;Język napisów:select:0;Niemiecki:0
15;Język napisów:select:0;Hiszpański:0
16;Język napisów:select:0;Angielski:0
16;Język napisów:select:0;Polski:0
16;Język napisów:select:0;Niemiecki:0
16;Język napisów:select:0;Hiszpański:0
17;Język napisów:select:0;Angielski:0
17;Język napisów:select:0;Polski:0
17;Język napisów:select:0;Niemiecki:0
17;Język napisów:select:0;Hiszpański:0
18;Język napisów:select:0;Angielski:0
18;Język napisów:select:0;Polski:0
18;Język napisów:select:0;Niemiecki:0
18;Język napisów:select:0;Hiszpański:0
19;Język napisów:select:0;Angielski:0
19;Język napisów:select:0;Polski:0
19;Język napisów:select:0;Niemiecki:0
19;Język napisów:select:0;Hiszpański:0
20;Język napisów:select:0;Angielski:0
20;Język napisów:select:0;Polski:0
20;Język napisów:select:0;Niemiecki:0
20;Język napisów:select:0;Hiszpański:0
21;Język napisów:select:0;Angielski:0
21;Język napisów:select:0;Polski:0
21;Język napisów:select:0;Niemiecki:0
21;Język napisów:select:0;Hiszpański:0
22;Język napisów:select:0;Angielski:0
22;Język napisów:select:0;Polski:0
22;Język napisów:select:0;Niemiecki:0
22;Język napisów:select:0;Hiszpański:0
23;Język napisów:select:0;Angielski:0
23;Język napisów:select:0;Polski:0
23;Język napisów:select:0;Niemiecki:0
23;Język napisów:select:0;Hiszpański:0
24;Język napisów:select:0;Angielski:0
24;Język napisów:select:0;Polski:0
24;Język napisów:select:0;Niemiecki:0
24;Język napisów:select:0;Hiszpański:0
25;Język napisów:select:0;Angielski:0
25;Język napisów:select:0;Polski:0
25;Język napisów:select:0;Niemiecki:0
25;Język napisów:select:0;Hiszpański:0
26;Język napisów:select:0;Angielski:0
26;Język napisów:select:0;Polski:0
26;Język napisów:select:0;Niemiecki:0
26;Język napisów:select:0;Hiszpański:0
27;Język napisów:select:0;Angielski:0
27;Język napisów:select:0;Polski:0
27;Język napisów:select:0;Niemiecki:0
27;Język napisów:select:0;Hiszpański:0
28;Język napisów:select:0;Angielski:0
28;Język napisów:select:0;Polski:0
28;Język napisów:select:0;Niemiecki:0
28;Język napisów:select:0;Hiszpański:0
29;Język napisów:select:0;Angielski:0
29;Język napisów:select:0;Polski:0
