ProductID;Image;Image alt;Name;Tags;Base price;Final price;Description;Discount percent;Available only online;Virtual product;Cecha(Nazwa:Wartość:Pozycja:Indywidualne);Categories
1;/var/www/html/img/products/productImage0.jpg;Crash Course on Python;Crash Course on Python;Statistical Programming,Programming Principles,Semantics,Computer Programming,Python Programming,Data Structures,Syntax,Python Syntax And Semantics;205;252.15;"This course is designed to teach you the foundations in order to write simple programs in Python using the most common structures. No previous exposure to programming is needed. By the end of this course, you'll understand the benefits of programming in IT roles; be able to write simple programs using Python; figure out how the building blocks of programming fit together; and combine all of this knowledge to solve a complex programming problem. ";0;1;1;Długość kursu:43h:1|2;Other
2;/var/www/html/img/products/productImage1.jpg;Programming for Everybody (Getting Started with Python);Programming for Everybody (Getting Started with Python);Statistical Programming,Programming Principles,Computer Programming,Syntax,Python Programming,Basic Programming Language;473;581.79;This course aims to teach everyone the basics of programming computers using Python. We cover the basics of how one constructs a program from a series of simple instructions in Python.  The course has no pre-requisites and avoids all but the simplest mathematics. Anyone with moderate computer experience should be able to master the materials in this course. This course will cover Chapters 1-5 of the textbook “Python for Everybody”.  Once a student completes this course, they will be ready to take more advanced programming courses. This course covers Python 3.;0;1;1;Długość kursu:45h:1|2;Other
3;/var/www/html/img/products/productImage2.jpg;Python for Data Science, AI & Development;Python for Data Science, AI & Development;Computational Logic,Mathematical Theory & Analysis,Statistical Programming,Mathematics,Theoretical Computer Science,Extract, Transform, Load,Pandas,Computer Programming,Programming Principles,Software Engineering,Software Testing,Python Programming,Numpy,Python Libraries,Data Management;487;599.01;Kickstart your learning of Python for data science, as well as programming in general, with this beginner-friendly introduction to Python. Python is one of the world’s most popular programming languages, and there has never been greater demand for professionals with the ability to apply Python fundamentals to drive business solutions across industries. ;0;1;1;Długość kursu:48h:1|2;Other
4;/var/www/html/img/products/productImage3.jpg;Python Basics;Python Basics;Statistical Programming,Computer Programming,Syntax,Python Programming,Python Syntax And Semantics,Semantics;84;103.32;"This course introduces the basics of Python 3, including conditional execution and iteration as control structures, and strings and lists as data structures. You'll program an on-screen Turtle to draw pretty pictures. You'll also learn to draw reference diagrams as a way to reason about program executions, which will help to build up your debugging skills. The course has no prerequisites. It will cover Chapters 1-9 of the textbook ""Fundamentals of Python Programming,"" which is the accompanying text (optional and free) for this course.";10;1;1;Długość kursu:11h:1|2;Other
5;/var/www/html/img/products/productImage4.jpg;Основы программирования на Python;Основы программирования на Python;Statistical Programming,Econometrics,Combinatorics,Mathematics,DevOps,Data Analysis,Algorithms,Theoretical Computer Science,Python Programming,Probability & Statistics,Pycharm,Applied Mathematics,Computer Programming,Business Analysis,Bayesian Statistics,Geometry;378;464.94;Язык программирования Python является одним из самых простых в освоении и популярных языков программирования. Целью курса является изучение основных конструкций языка Python, которые пригодятся при решении широкого круга задач – от анализа данных до разработки новых программных продуктов.;0;1;1;Długość kursu:22h:1|2;Algorithms
6;/var/www/html/img/products/productImage5.jpg;Python and Statistics for Financial Analysis;Python and Statistics for Financial Analysis;Analysis,Probability Distribution,Statistical Programming,Accounting,Data Analysis,Probability & Statistics,Business Analysis,Python Programming,Computer Programming,General Statistics;308;378.84000000000003;Course Overview: https://youtu.be/JgFV5qzAYno;0;1;1;Długość kursu:35h:1|2;Other
7;/var/www/html/img/products/productImage6.jpg;Python Programming: A Concise Introduction;Python Programming: A Concise Introduction;Software Testing,Research and Design,Deep Learning,Leadership and Management,Computer Vision,Statistical Programming,Entrepreneurship,Machine Learning,Problem Solving,Artificial Neural Networks,Data Visualization,Semantics,Algorithms,Computer Programming,Python Programming,Software Engineering,Python Syntax And Semantics,Syntax,Android Development,Applied Machine Learning,Data Structures,Theoretical Computer Science,Computational Logic,Data Management,Mobile Development;362;445.26;The goal of the course is to introduce students to Python Version 3.x programming using hands on instruction. It will show how to install Python and use the Spyder IDE (Integrated Development Environment) for writing and debugging programs. The approach will be to present an example followed by a small exercise where the learner tries something similar to solidify a concept.  At the end of each module there will be an exercise where the student is required to write simple programs and submit them for grading.  It is intended for students with little or no programming background, although students with such a background should be able to move forward at their preferred pace.;0;1;1;Długość kursu:34h:1|2;Algorithms
8;/var/www/html/img/products/productImage7.jpg;Introduction to Python Programming;Introduction to Python Programming;Statistical Programming,Python Programming,Computer Programming;170;209.1;This course provides an introduction to programming and the Python language.  Students are introduced to core programming concepts like data structures, conditionals, loops, variables, and functions.  This course includes an overview of the various tools available for writing and running Python, and gets students coding quickly.  It also provides hands-on coding exercises using commonly used data structures, writing custom functions, and reading and writing to files. This course may be more robust than some other introductory python courses, as it delves deeper into certain essential programming topics.;0;1;1;Długość kursu:22h:1|2;Other
9;/var/www/html/img/products/productImage8.jpg;Introducción a la programación en Python I: Aprendiendo a programar con Python;Introducción a la programación en Python I: Aprendiendo a programar con Python;Statistical Programming,Python Programming,Computer Programming;384;472.32;Decía Steve Jobs que “todo el mundo debería aprender a programar un ordenador porque esto te ayuda a pensar”. Hoy en día la programación es una herramienta fundamental para el desarrollo de la tecnología moderna. Este curso te introduce en el mundo de la programación en el lenguaje Python. De una forma práctica, aprenderás de forma gradual desde el tratamiento básico de variables hasta la programación de algoritmos para construir tus propios juegos. Además, te familiarizarás con los conceptos fundamentales para el desarrollo de algoritmos y su programación. ;0;1;1;Długość kursu:49h:1|2;Other
10;/var/www/html/img/products/productImage9.jpg;Python Classes and Inheritance;Python Classes and Inheritance;Object-Oriented Programming,Programming Principles,Inheritance (Object-Oriented Programming),Python Programming,Computer Programming,Computer Program;400;492.0;"This course introduces classes, instances, and inheritance. You will learn how to use classes to represent data in concise and natural ways. You'll also learn how to override built-in methods and how to create ""inherited"" classes that reuse functionality. You'll also learn about how to design classes. Finally, you will be introduced to the good programming habit of writing automated tests for their own code.";0;1;1;Długość kursu:29h:1|2;Other
11;/var/www/html/img/products/productImage10.jpg;Python Programming Essentials;Python Programming Essentials;Statistical Programming,Semantics,Syntax,Computer Programming,Mathematics,Python Syntax And Semantics,Python Programming;121;148.83;This course will introduce you to the wonderful world of Python programming!  We'll learn about the essential elements of programming and how to construct basic Python programs. We will cover expressions, variables, functions, logic, and conditionals, which are foundational concepts in computer programming. We will also teach you how to use Python modules, which enable you to benefit from the vast array of functionality that is already a part of the Python language. These concepts and skills will help you to begin to think like a computer programmer and to understand how to go about writing Python programs.;0;1;1;Długość kursu:47h:1|2;Other
